序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
01053,="10:04:41.748",0x80FC5,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01054,="10:04:41.778",0x81029,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01055,="10:04:41.778",0x8108C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01056,="10:04:41.778",0x810F0,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01057,="10:04:41.808",0x81154,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01058,="10:04:41.808",0x811B8,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01059,="10:04:41.808",0x8121C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01060,="10:04:41.838",0x81280,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01061,="10:04:41.838",0x812E4,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01062,="10:04:41.838",0x81348,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01063,="10:04:41.868",0x813AB,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01064,="10:04:41.868",0x8140F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01065,="10:04:41.868",0x81473,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01066,="10:04:41.899",0x814D7,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
01067,="10:04:41.899",0x8153B,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
01068,="10:04:41.899",0x8159F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
01069,="10:04:41.929",0x81603,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
01070,="10:04:41.929",0x81667,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
